Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,L19.B000633.3_56_F.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_56_F,F,B000633,False,,,,,,,,,,RV,Heart,-27.107809168627444,-1.4681567377515092
,,L19.B000634.3_56_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_56_F,F,B000634,False,,,,,,,,,,LA,Heart,1.0263949314109695,14.05622962046174
,,L19.B000636.3_56_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_56_F,F,B000636,False,,,,,,,,,,LV,Heart,-11.418481940676598,-20.97235281830667
,,L19.B002010.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002010,False,,,,,,,,,,RA,Heart,12.123300775618254,3.4141610205989785
,,L19.B002423.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002423,False,,,,,,,,,,RV,Heart,-0.7564750681912588,7.871935709419442
,,L19.B002427.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002427,False,,,,,,,,,,LA,Heart,-2.4489166419700057,2.181043985279319
,,L19.B002428.3_38_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_38_F,F,B002428,False,,,,,,,,,,LA,Heart,-5.679356260668553,-15.970197481611118
,,L19.B002429.3_38_F.1.1,endothelial cell,CL:0000115,6,endothelial cell,3_38_F,F,B002429,False,,,,,,,,,,LV,Heart,-19.42368466660937,-15.256924636496475
,,L19.MAA000398.3_9_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_9_M,M,MAA000398,False,,,,,,,,,,LA,Heart,23.37617410527386,21.10989735348004
,,L19.MAA000399.3_9_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_9_M,M,MAA000399,False,,,,,,,,,,RV,Heart,30.79344518279661,21.020899408569466
,,L19.MAA000586.3_8_M.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_8_M,M,MAA000586,False,,,,,,,,,,RA,Heart,-27.226601755403177,-1.6022406953022041
,,L19.MAA000589.3_9_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_9_M,M,MAA000589,False,,,,,,,,,,LV,Heart,10.872301094818257,-27.978433881235357
,,L19.MAA000919.3_10_M.1.1,fibroblast,CL:0000057,3,fibroblast,3_10_M,M,MAA000919,False,,,,,,,,,,LA,Heart,-0.7132199936965605,-4.795529997246692
,,L19.MAA000936.3_9_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_9_M,M,MAA000936,False,,,,,,,,,,RA,Heart,6.466167398546247,-22.561341671830057
,,L2.B000633.3_56_F.1.1,leukocyte,CL:0000738,4,leukocyte,3_56_F,F,B000633,False,,,,,,,,,,RV,Heart,10.514553077066944,-25.39708506142207
,,L2.B000634.3_56_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_56_F,F,B000634,False,,,,,,,,,,LA,Heart,-2.0381251771468585,7.784919984620759
,,L2.B002010.3_39_F.1.1,fibroblast,CL:0000057,1,fibroblast,3_39_F,F,B002010,False,,,,,,,,,,RA,Heart,12.541790649284215,18.141280107955367
