1_emb1,1_emb2,2_emb1,2_emb2,3_emb1,3_emb2,4_emb1,4_emb2,5_emb1,5_emb2,ID
6.732897795821101,-1.6475403982044292,-2.640133984067608,0.6831931746166922,0.0013562569936201375,-0.016763978228665825,0.28191933035850525,6.657665252685547,-2.4117624759674072,2.224445104598999,99
6.537852360367391,-2.044220732292806,-2.542255885579754,0.17101916433989767,-3.218189272762679e-4,-0.0163563975193062,0.26538148522377014,4.6862287521362305,-2.524986982345581,2.140930414199829,100
13.211439941902988,-4.422495730305181,-7.625288135984112,-4.471109184010627,-0.0036196723390452793,-0.01569106383135318,-1.3629283905029297,7.272928714752197,-2.700016975402832,3.0607011318206787,101
7.299584957346613,-3.304865195259501,-2.618936665036846,0.08948161961257223,-0.00214221168473043,-0.015820458380544224,-0.16117270290851593,6.243371963500977,-2.5091488361358643,2.3563406467437744,102
7.150849818308145,-3.2550787121872515,-2.6370204758431206,0.09047361971556905,-0.0020344263022644507,-0.01589914876123926,-0.3496025800704956,5.164254665374756,-2.7065963745117188,1.9093117713928223,103
6.899306386369443,-3.239483785771961,-2.7336858582283745,0.0972290313404775,-0.0027662294476357425,-0.015740495160547357,-1.037900447845459,0.9443016052246094,-2.6300671100616455,1.6420032978057861,104
16.446045013972242,-10.997912093011704,-7.605913765409161,-4.448096545918586,-0.016423309706589687,-0.006509856388332718,-25.780344009399414,-4.511880397796631,-10.457884788513184,-8.334718704223633,105
17.000734481888518,-13.092646024632192,-7.354006416776349,-4.679240020497444,-0.02081456478948001,-0.0025177596269324444,-28.141048431396484,-6.50164794921875,-10.009016036987305,-8.942120552062988,106
16.139148643957125,-11.410775784513898,-7.584873325803448,-4.436867030842903,-0.016520098006158442,-0.006507915674337983,-25.43381690979004,-4.124914169311523,-10.487804412841797,-8.282031059265137,107
16.010267686629362,-11.078522199051308,-7.608784325101544,-4.410137447102668,-0.015231220209434515,-0.0074163409451053625,-24.333086013793945,-3.80948543548584,-10.49239730834961,-8.183245658874512,108
15.865763476252841,-12.057708835389679,-7.490880615689923,-4.468214782460334,-0.01712500479833904,-0.005893517987809485,-26.00383949279785,-4.635623931884766,-10.299616813659668,-8.241568565368652,109
16.45602009242893,-12.652525738332091,-7.4418617558266416,-4.528164180501106,-0.019016244430866018,-0.003876453776206785,-27.6389217376709,-5.904652118682861,-10.27440357208252,-8.554377555847168,110
15.742495384108231,-11.938568949073357,-7.483892567136456,-4.443089755757454,-0.016346560206859075,-0.006674303345598759,-25.22809410095215,-4.647167205810547,-10.289507865905762,-8.146921157836914,111
11.489618873088101,-15.152966706343024,-6.619176990964581,-2.940895827992561,-0.01848812425274628,-0.007471101550104481,-19.48540496826172,-7.3993048667907715,-8.4496612548828125,-6.1911187171936035,112
11.460621037896914,-15.001580229619533,-6.6354581188942685,-2.8874256932574536,-0.018249399541448583,-0.007653395559277471,-18.41168212890625,-7.511247158050537,-8.446125030517578,-5.991745948791504,113
16.96897103917428,-13.68094677824768,-7.234027988889386,-4.779825957997444,-0.021606125570262223,-0.002022071534967645,-28.70493507385254,-8.058280944824219,-9.735021591186523,-8.962371826171875,114
17.1360564518072,-13.837985637899225,-7.131703503110577,-4.834041866047981,-0.02169123188899295,-0.0018980665698779416,-29.081722259521484,-7.455015659332275,-9.645120620727539,-9.038105964660645,115
16.762274051000507,-13.704787797760636,-7.167142040708233,-4.746057780964973,-0.02134475147506243,-0.0022677293119249434,-28.31192970275879,-7.095969200134277,-9.886481285095215,-8.870624542236328,116
17.052490780237346,-14.334461050678465,-7.0897795033242,-4.855360778554084,-0.021809159105154564,-0.0018216511311955272,-29.206104278564453,-8.41637134552002,-9.550769805908203,-9.143054008483887,117
15.820876658365396,-12.236573685557536,-7.4864174198891416,-4.450773986561897,-0.01749268619677569,-0.005563533769705251,-25.775785446166992,-5.192124366760254,-10.069469451904297,-8.150856971740723,118
13.693014085688421,-18.141934017552714,-6.540195591428448,-4.235450061543586,-0.025118529809217565,6.025125869378023e-4,-26.08745765686035,-11.72085189819336,-8.6289825439453125,-8.523482322692871,119
12.24789493642036,-15.887228117752876,-6.618953831174542,-3.4497142159777905,-0.020562340674993546,-0.0049612466819179465,-21.136863708496094,-7.602005481719971,-8.866941452026367,-6.675614833831787,120
12.930953277380077,-17.654342671427607,-6.510421879270245,-4.14401844380677,-0.02402584493316473,-8.427712834182742e-4,-25.413911819458008,-10.652509689331055,-8.84064769744873,-8.030672073364258,121
13.053297714924163,-18.57783331457959,-6.431981213071515,-4.377110036595466,-0.024892192977634252,4.088396003357473e-4,-26.255962371826172,-11.032367706298828,-8.931349754333496,-8.45461654663086,122
13.55575378799696,-19.125375673543765,-6.311458713987042,-4.583045753224495,-0.02596080056401394,0.0020126239497875397,-26.592164993286133,-12.383868217468262,-8.702098846435547,-8.802374839782715,123
17.147642718680206,-15.840834191697622,-6.950870163419415,-4.98109701512635,-0.022061096502126135,-0.0017283677335331628,-29.464969635009766,-10.996696472167969,-9.05597972869873,-9.303162574768066,124
17.191161787524535,-15.98591983844846,-6.952849991300274,-5.048091682179573,-0.02232653412747137,-0.0014140864944140867,-29.108062744140625,-13.215161323547363,-8.688714981079102,-9.637428283691406,125
16.795743801916004,-14.572670803082291,-6.993101246335675,-4.906165393574836,-0.02166456902356581,-0.002206786764858193,-28.343791961669922,-8.902498245239258,-9.480643272399902,-9.100186347961426,126
17.115666643021143,-15.545388033198032,-6.99208081481712,-4.964918407185676,-0.022076403476497072,-0.0016905785977150973,-28.92510986328125,-10.94983196258545,-9.288530349731445,-9.2279510498046875,127
15.752725080139813,-13.770236630162843,-7.028645164945294,-4.653814109547737,-0.01913164691704582,-0.005705424142001977,-25.67674446105957,-7.328777313232422,-9.362528800964355,-8.088626861572266,128
15.9081219592303,-21.29826821294199,-6.632044441678692,-5.41131523488343,-0.02795279965142853,0.005239009482240671,-29.551143646240234,-17.681150436401367,-8.308104515075684,-9.952287673950195,129
15.730521686111844,-21.23578523045994,-6.607810146787335,-5.401109489186409,-0.028211028316148926,0.005499064250158038,-29.223100662231445,-16.69150161743164,-8.40266227722168,-9.783297538757324,130
14.216123841219444,-20.24769966329511,-6.392947323301007,-5.000375541432502,-0.02711013946354853,0.003883002885770827,-28.89522933959961,-14.173243522644043,-8.56522274017334,-9.341273307800293,131
13.164887582397295,-20.217840214374103,-6.41155160186546,-5.087209018452766,-0.02553875036309456,0.0021627317361320162,-26.218904495239258,-12.86076545715332,-8.601386070251465,-8.745288848876953,132
14.645517612694473,-21.130236393303058,-6.519050724485089,-5.333001407368782,-0.027761911180118864,0.004912714263529336,-29.209257125854492,-16.03302001953125,-8.449296951293945,-9.644349098205566,133
13.463507803398088,-20.56591562543874,-6.472215778806378,-5.22611072896302,-0.026444251239926733,0.003484189186806415,-28.78470230102539,-13.893301963806152,-8.585677146911621,-9.192940711975098,134
13.803125963808844,-20.949540862840905,-6.551850445249249,-5.378000529988411,-0.02664495859962685,0.0037479815854337822,-28.725055694580078,-15.497930526733398,-8.602210998535156,-9.237763404846191,135
3.617205668475194,-13.670877472634889,-5.77899373290794,-0.8246054076987528,-0.011584060365639437,-0.013587630992526958,-9.763826370239258,-10.446991920471191,-5.872511386871338,-4.8588104248046875,136
