1_emb1,1_emb2,2_emb1,2_emb2,3_emb1,3_emb2,ID
-5.117,7.57,0.8235575868824346,-3.370717581737624,1.3934906019462128,-2.566279714961799,100
7.282,9.123,-4.257861940648236,-10.771409806240188,-4.497205685208939,-4.2384613212545235,101
7.367,9.593,-4.0943315909167906,-10.183495339382278,-3.6822354303108673,-4.273754423518928,102
-4.673,12.32,2.566597373698078,-5.95632153414546,1.131672550608017,-6.651191061397346,103
-4.291,11.63,2.6549750878551825,-6.401823815334425,0.8337455286277312,-7.221911734004768,104
12.89,-0.9519,6.184466035578571,-14.835482415187942,4.418570090700485,-15.737251585384161,105
12.28,-1.84,5.897564561579547,-15.23829632662593,3.7650340093863983,-15.214350050349982,106
-5.62,8.775,3.31666317722591,-3.3874991502648455,4.165658999849655,-3.870371168514045,107
1.187,3.922,-5.901593534733929,5.158720675479784,-8.085559319089555,4.563252383808343,108
-0.8873,2.947,-4.420078127171673,4.0586971674078844,-6.52676482064595,2.5652981344263237,109
-3.599,7.314,-0.5984871671458857,-2.5402751531487566,0.2887410117877502,-1.1753628906209783,110
15.02,-0.7942,7.028696210596881,-15.599026497829543,2.9213967813743134,-16.954710310359747,111
-6.344,7.277,2.1124707772472724,-3.5027332868462664,2.4981725706351776,-3.1904500183065254,112
13.74,12.09,-5.57618316867558,-7.910200890529738,2.785356093813278,5.382818395237176,113
-0.8217,2.57,-6.136796800877728,4.869426909458055,-7.782128285001419,5.131742889026849,114
6.483,7.663,-0.05819386103359628,11.391475859653367,-6.206917713712357,-2.488045042415412,115
13.01,-2.356,7.070535333369098,-15.344709214199172,3.2761948599113007,-17.17591697539881,116
-5.818,9.634,4.275568635676227,-4.996602353084669,3.999084044863083,-6.985963171382697,117
-6.682,7.251,1.176427157137714,-4.100670632351027,1.4447267545951386,-3.377782171626838,118
-4.102,7.646,-0.07091300049034524,-1.4694406356698138,1.9687095178855438,-0.3993144687612371,119
-4.376,5.728,-2.00035342433659,-2.2312820520287615,-1.1556180225121002,-1.0267008003194646,120
-0.4299,3.382,-4.661754934575238,3.283069077503099,-5.200180958341263,4.415108138660638,121
-2.32,4.097,-4.0685084746143,2.1796776685828108,-4.116313885282181,2.9133514705698174,122
4.943,7.618,-1.2224524901172298,11.652448836337937,-5.247803639005325,-0.9425457176168279,123
0.6502,4.481,-4.680687753941693,4.276903096210375,-6.718451927732132,2.99192684326574,124
-7.387,10.68,3.098227651331745,-5.599500950801954,2.203305293489792,-6.4968045410116035,125
7.08,9.817,0.7128475024441107,-7.140902337062941,-2.398343514035843,-4.467815702815803,126
6.79,2.05,-1.8421095297595638,5.14732140637578,-3.7183854089485626,11.288415605167597,127
4.889,2.858,-9.75494941928593,2.698441687595262,-5.936386059354446,9.628257447818964,128
-4.566,11.66,3.503216655466877,-5.628226574886427,2.3909194959891815,-6.873183554073127,129
-6.64,10.34,3.8237861706951484,-4.920117672908888,3.4479284776938934,-6.10602123107508,130
1.574,2.601,-6.220636217381634,6.034661952030077,-9.083818863462113,4.897016221622674,131
8.454,18.48,5.966546209071002,16.09779566861333,9.780702163149215,12.674463922123163,132
0.2577,4.273,-5.246782629277386,3.8903190527075666,-6.61295981271138,3.6466569248239677,133
2.155,1.965,-6.796017973210492,6.084636393558397,-9.333319138120316,5.89413803253576,134
15.34,11.55,-5.325775949742474,-11.650085267055617,7.912084151674606,5.796428376774041,135
16.8,12.82,11.54950443050655,7.414097014438524,11.48385481970439,6.144905740360467,136
-2.51,8.133,-0.890668480183758,-2.132695015895949,0.42650713460574335,-0.7063315566976385,137
8.278,11.04,-5.331207124974408,-8.187727745998489,2.5377233518851776,5.732375318149773,138
6.288,2.575,-9.333396761204876,1.7875282201880354,-4.16309351785054,10.557552034000604,139
1.432,5.823,-7.573551504399457,3.4674839410895246,-5.213435123990677,6.706135923008172,140
4.221,3.299,-9.502791254307903,2.9468390379065412,-6.013795803617142,8.891215497593134,141
-0.292,3.983,-4.422981111790814,4.46180361844243,-6.7680630193459015,2.215250784496514,142
-3.546,6.341,-1.2536043808719295,-0.678501066196547,0.18384641842971033,0.9993998650114222,143
16.67,12.41,11.857313306544148,6.703795615207567,10.314640571047164,6.707793408970086,144
-2.544,6.783,-2.054177610661663,0.2784290347212691,-0.9949427352653962,2.4418720546762627,145
-5.834,7.061,-0.027277989771045924,-3.3881726827508074,0.4851078285468597,-2.3579450305898506,146
-3.115,4.086,-3.9563091681262628,0.7117825034970183,-3.3152830110298614,1.4562871846954508,147
12.74,-1.965,6.855329663966022,-15.429734047878371,3.4227698339713593,-16.90639335479334,148
1.726,0.7831,-5.921422807957806,7.009450617801561,-10.474047134946488,4.435354644397942,149
16.7,10.75,11.483460576746785,7.30233210660161,11.42712931769023,5.789893323520867,150
-2.951,6.711,-1.803438393857159,0.23134962059201192,-0.20876532358994299,2.5198505464594048,151
